trait,access,author,category,consortium,id,mr,ncase,ncontrol,note,nsnp,pmid,population,priority,sample_size,sd,unit,sex,subcategory,year,EFO,EFO_id,match
X-14632,public,Shin,Metabolites,NA,730,1,NA,NA,NA,2545261,24816252,European,1,1703,0.149968768,log10 units,Males and females,Unknown metabolite,2014,,,
X-14658,public,Shin,Metabolites,NA,731,1,NA,NA,NA,2546626,24816252,European,1,3533,0.255903743,log10 units,Males and females,Unknown metabolite,2014,,,
X-14662,public,Shin,Metabolites,NA,732,1,NA,NA,NA,2544763,24816252,European,1,4212,0.289671049,log10 units,Males and females,Unknown metabolite,2014,,,
X-14745,public,Shin,Metabolites,NA,733,1,NA,NA,NA,2545672,24816252,European,1,5602,0.198613343,log10 units,Males and females,Unknown metabolite,2014,,,
Gamma-glutamylglutamate,public,Shin,Metabolites,NA,734,1,NA,NA,NA,2545200,24816252,European,1,931,0.147123342,log10 units,Males and females,Peptide,2014,,,
Octadecanedioate,public,Shin,Metabolites,NA,735,1,NA,NA,NA,2545925,24816252,European,1,7300,0.193894786,log10 units,Males and females,Lipid,2014,,,
Leucylleucine,public,Shin,Metabolites,NA,736,1,NA,NA,NA,2545218,24816252,European,1,3386,0.178469475,log10 units,Males and females,Peptide,2014,,,
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),public,Shin,Metabolites,NA,737,1,NA,NA,NA,2545638,24816252,European,1,7784,0.132185724,log10 units,Males and females,Lipid,2014,,,
N-Butyl Oleate,public,Shin,Metabolites,NA,738,1,NA,NA,NA,2545187,24816252,European,1,4542,0.14849,log10 units,Males and females,Lipid,2014,,,
Dimethylarginine (SDMA + ADMA),public,Shin,Metabolites,NA,739,1,NA,NA,NA,2545585,24816252,European,1,7347,0.090289671,log10 units,Males and females,Amino acid,2014,,,
Taurolithocholate 3-sulfate,public,Shin,Metabolites,NA,740,1,NA,NA,NA,2545827,24816252,European,1,6904,0.313389849,log10 units,Males and females,Lipid,2014,,,
X-14977--vanillin,public,Shin,Metabolites,NA,741,1,NA,NA,NA,2545167,24816252,European,1,1789,0.134080387,log10 units,Males and females,Xenobiotics,2014,,,
Succinylcarnitine,public,Shin,Metabolites,NA,742,1,NA,NA,NA,2545250,24816252,European,1,6948,0.119053053,log10 units,Males and females,Energy,2014,,,
Tryptophan betaine,public,Shin,Metabolites,NA,743,1,NA,NA,NA,2545376,24816252,European,1,7439,0.46240678,log10 units,Males and females,Amino acid,2014,,,
Cyclo(leu-pro),public,Shin,Metabolites,NA,744,1,NA,NA,NA,2544386,24816252,European,1,4833,0.258334397,log10 units,Males and females,Peptide,2014,,,
Chiro-inositol,public,Shin,Metabolites,NA,745,1,NA,NA,NA,2542686,24816252,European,1,2729,0.442766384,log10 units,Males and females,Lipid,2014,,,
"5alpha-androstan-3beta,17beta-diol disulfate",public,Shin,Metabolites,NA,746,1,NA,NA,NA,2545804,24816252,European,1,7345,0.380102268,log10 units,Males and females,Lipid,2014,,,
"4-androsten-3beta,17beta-diol disulfate 1*",public,Shin,Metabolites,NA,747,1,NA,NA,NA,2545651,24816252,European,1,7804,0.387500672,log10 units,Males and females,Lipid,2014,,,
"4-androsten-3beta,17beta-diol disulfate 2*",public,Shin,Metabolites,NA,748,1,NA,NA,NA,2545567,24816252,European,1,7776,0.262673222,log10 units,Males and females,Lipid,2014,,,
2-hydroxyglutarate,public,Shin,Metabolites,NA,749,1,NA,NA,NA,2545481,24816252,European,1,6287,0.166399826,log10 units,Males and females,Lipid,2014,,,
Ergothioneine,public,Shin,Metabolites,NA,750,1,NA,NA,NA,2545729,24816252,European,1,4453,0.236838829,log10 units,Males and females,Xenobiotics,2014,,,
Palmitoyl sphingomyelin,public,Shin,Metabolites,NA,751,1,NA,NA,NA,2545552,24816252,European,1,7814,0.108192403,log10 units,Males and females,Lipid,2014,,,
Phenylalanylphenylalanine,public,Shin,Metabolites,NA,752,1,NA,NA,NA,2545652,24816252,European,1,4961,0.171045047,log10 units,Males and females,Peptide,2014,,,
Cis-4-decenoyl carnitine,public,Shin,Metabolites,NA,753,1,NA,NA,NA,2545651,24816252,European,1,7660,0.196010788,log10 units,Males and females,Lipid,2014,,,
15-methylpalmitate (isobar with 2-methylpalmitate),public,Shin,Metabolites,NA,754,1,NA,NA,NA,2545546,24816252,European,1,7371,0.153359421,log10 units,Males and females,Lipid,2014,,,
Hip circumference,public,Randall JC,Risk factor,GIANT,101,1,NA,NA,Adjusted for BMI,2725796,23754948,European,16,73137,8.4548,SD (cm),Females,Anthropometric,2014,,,
Hippocampus volume,public,Hibar,Risk factor,ENIGMA,1045,1,NA,NA,adjusted for intracranial volume,7276413,25607358,European,1,30717,NA,mm3,Males and females,Psychiatric / neurological,2010,hippocampal volume,EFO:0005035,high
Hirschsprungƒ__s disease,public,Tang,Disease,NA,983,1,173,615,NA,6512684,20361209,East Asian,1,788,NA,log odds,Males and females,Paediatric disease,2010,,,
HOMA-B,public,Dupuis J,Risk factor,MAGIC,770,1,NA,NA,Homeostatic model assessment (HOMA) for beta-cell function,2456946,20081858,European,1,46186,0.9573841,log HOMA,Males and females,Glycemic,2010,HOMA-B,EFO:0004469,high
HOMA-IR,public,Dupuis J,Risk factor,MAGIC,771,1,NA,NA,Homeostatic model assessment (HOMA) for insulin resistance (IR),2458074,20081858,European,1,46186,0.6697011,log HOMA,Males and females,Glycemic,2014,HOMA-IR,EFO:0004501,high
IgA nephropathy,public,Feehally J,Disease,NA,1081,1,977,4980,NA,278077,20595679,European,1,5957,NA,log odds,Males and females,Kidney,2014,IGA glomerulonephritis,EFO:0004194,high
Immunoglobulin G index levels,public,Goris A,Risk factor,NA,1017,1,NA,NA,All subjects had multiple sclerosis; effect allele frequeinces are missing,242775,25616667,European,1,938,3.44,log2 IgG index ratio,Males and females,Immune system,2014,,,
Incremental insulin at 30 minutes,public,Prokopenko,Risk factor,MAGIC,764,1,NA,NA,Insulin secretion; during oral glucose tolerance test,2427303,24699409,European,6,4447,NA,SD,Males and females,Glycemic,2014,,,
Infant head circumference,public,Taal HR,Risk factor,EGG,28,1,NA,NA,NA,2449807,22504419,European,1,10768,1.519535027,SD (cm),Males and females,Anthropometric,2014,infant head circumference,EFO:0004577,high
Inflammatory bowel disease,public,Liu,Disease,IIBDGC,31,1,12882,21770,NA,12716084,26192919,European,1,34652,NA,log odds,Males and females,Autoimmune / inflammatory,2014,inflammatory bowel disease,EFO:0003767,high
Inflammatory bowel disease,public,Jostins L,Disease,IIBDGC,292,1,NA,NA,NA,14378,23128233,European,1,75000,NA,log odds,Males and females,Autoimmune / inflammatory,2014,,,
Inflammatory bowel disease,public,Liu,Disease,IIBDGC,293,1,2824,3719,NA,157116,26192919,East Asian,1,6543,NA,log odds,Males and females,Autoimmune / inflammatory,2014,,,
Inflammatory bowel disease,public,Liu,Disease,IIBDGC,294,1,31665,33977,NA,157116,26192919,European,1,65642,NA,log odds,Males and females,Autoimmune / inflammatory,2014,,,
Inflammatory bowel disease,public,Liu,Disease,IIBDGC,295,1,1423,990,NA,157116,26192919,Indian,1,2413,NA,log odds,Males and females,Autoimmune / inflammatory,2010,,,
Inflammatory bowel disease,public,Liu,Disease,IIBDGC,296,1,548,342,NA,157116,26192919,Iranian,1,890,NA,log odds,Males and females,Autoimmune / inflammatory,2011,,,
Inflammatory bowel disease,public,Duerr RH,Disease,NA,819,1,968,995,Effect allele frequencies are missing,298392,17068223,European,3,1963,NA,log odds,Males and females,Autoimmune / inflammatory,2011,,,
Inspection time,public,Luciano,Risk factor,NA,1065,1,NA,NA,Metric of information processing speed,2402666,21130836,European,1,2645,48.34,SD (milliseconds),Males and females,Psychiatric / neurological,2011,mental process,EFO:0004323,low
Insulin at 30 minutes,public,Prokopenko,Risk factor,MAGIC,765,1,NA,NA,Insulin secretion; during oral glucose tolerance test; adjusted for BMI,2432136,24699409,European,7,4409,NA,SD,Males and females,Glycemic,2012,,,
Insulin at 30 minutes,public,Prokopenko,Risk factor,MAGIC,766,1,NA,NA,Insulin secretion; during oral glucose tolerance test,2427300,24699409,European,8,4483,NA,SD,Males and females,Glycemic,2012,,,
Insulin disposition index,public,Prokopenko,Risk factor,MAGIC,763,1,NA,NA,Insulin secretion; during oral glucose tolerance test,2426095,24699409,European,5,5130,NA,SD,Males and females,Glycemic,2012,,,
Insulin sensitivity index,public,Prokopenko,Risk factor,MAGIC,767,1,NA,NA,Insulin secretion,2418000,24699409,European,9,4769,NA,SD,Males and females,Glycemic,2012,,,
Internalizing problems,public,Benke,Risk factor,EAGLE,1029,1,NA,NA,In preschool; effect allele frequencies are missing,2821735,24839885,European,1,4596,2.257,sqrt(INT score),Males and females,Psychiatric / neurological,2013,psychosocial stress measurement,EFO:0006783,low
Intracranial volume,public,Hibar,Risk factor,ENIGMA,1041,1,NA,NA,NA,7484970,25607358,European,1,30717,NA,mm3,Males and females,Psychiatric / neurological,2012,intra cranial volume,EFO:0004886,high
Iron,public,Benyamin,Risk factor,GIS,1049,1,NA,NA,Effect allele frequencies are missing,2096457,25352340,European,1,23986,NA,SD,Males and females,Metal,2013,iron biomarker measurement,EFO:0004461,high
Ischaemic stroke,public,Matarin M,Disease,NA,814,1,249,268,Effect allele frequencies are missing,393465,17434096,European,1,517,NA,log odds,Males and females,Cardiovascular,2013,,,
Juvenile idiopathic arthritis,immunobase_users,Hinks,Disease,NA,279,1,2816,13056,Immuno-chip; effect allele frequencies are missing,108294,23603761,European,1,15872,NA,log odds,Males and females,Autoimmune / inflammatory,2013,chronic childhood arthritis,EFO:0002609,high
LDL cholesterol,public,Willer CJ,Risk factor,GLGC,300,1,NA,NA,NA,2437752,24097068,Mixed,1,173082,38.6745912,SD (mg/dL),Males and females,Lipid,2013,low density lipoprotein cholesterol measurement,EFO:0004611,high
LDL cholesterol,public,Willer CJ,Risk factor,GLGC,781,1,NA,NA,Metabo-chip,120251,24097068,Mixed,2,83198,38.6745912,SD (mg/dL),Males and females,Lipid,2013,,,
Leptin,public,KilpelÇÏinen,Risk factor,NA,1002,1,NA,NA,Adjusted for BMI; effect allele frequencies are missing,2474010,26833098,European,1,32161,NA,log ng/ml,Males and females,Hormone,2013,,,
Leptin,public,KilpelÇÏinen,Risk factor,NA,1003,1,NA,NA,Effect allele frequencies are missing,2473865,26833098,European,2,32161,NA,log ng/ml,Males and females,Hormone,2011,leptin measurement,EFO:0005000,high
Lumbar spine bone mineral density,public,Zheng,Risk factor,GEFOS,982,1,NA,NA,NA,10582867,26367794,Mixed,1,NA,NA,SD,Males and females,Bone,2015,spine bone mineral density,EFO:0007701,high
Lung adenocarcinoma,public,Wang Y,Disease,ILCCO,965,1,3442,14894,NA,8881354,24880342,European,1,18336,NA,log odds,Males and females,Cancer,2015,lung adenocarcinoma,EFO:0000571,high
Lung adenocarcinoma,developer,NA,Disease,TRICL,984,1,11245,54619,NA,10345176,NA,European,1,65864,NA,NA,Males and females,Cancer,2015,,,
Lung cancer,public,Wang Y,Disease,ILCCO,966,1,11348,15861,NA,8945893,24880342,European,1,27209,NA,log odds,Males and females,Cancer,2015,lung carcinoma,EFO:0001071,high
Lung cancer,developer,NA,Disease,TRICL,985,1,23848,16605,Lung cancer in ever smokers,7877791,NA,European,1,40453,NA,NA,Males and females,Cancer,2015,,,
Lung cancer,developer,NA,Disease,TRICL,986,1,2303,6995,Lung cancer in never smokers,7024138,NA,European,1,9298,NA,NA,Males and females,Cancer,2015,,,
Lung cancer,developer,NA,Disease,TRICL,987,1,29863,55586,NA,10439018,NA,European,1,85449,NA,NA,Males and females,Cancer,2015,,,
Major depressive disorder,public,Sullivan,Disease,PGC,804,1,9240,9519,Clump; effect allele frequencies are missing,123041,22472876,European,2,18759,NA,log odds,Males and females,Psychiatric / neurological,2015,,,
Major depressive disorder,public,Sullivan,Disease,PGC,805,1,9240,9519,Full,1235110,22472876,European,1,18759,NA,log odds,Males and females,Psychiatric / neurological,2015,major depressive disorder,EFO:0007634,high
Mean cell haemoglobin,public,van der Harst P,Risk factor,HaemGen,271,1,NA,NA,Effect allele frequencies are missing,2586785,23222517,Mixed,1,64731,1.987577737,pg,Males and females,Haemotological,2015,mean corpuscular hemoglobin,EFO:0004527,high
Mean cell haemoglobin concentration,public,van der Harst P,Risk factor,HaemGen,272,1,NA,NA,Effect allele frequencies are missing,2588876,23222517,Mixed,1,67852,1.013212303,g/dL,Males and females,Haemotological,2015,mean corpuscular hemoglobin concentration,EFO:0004528,high
Mean cell volume,public,van der Harst P,Risk factor,HaemGen,273,1,NA,NA,Effect allele frequencies are missing,2591133,23222517,Mixed,1,69335,5.193532933,fl,Males and females,Haemotological,2015,mean corpuscular volume,EFO:0004526,high
Mean platelet volume,public,Gieger C,Risk factor,HaemGen,1006,1,NA,NA,Effect allele frequencies are missing,2690859,22139419,European,1,66867,0.109,log fl,Males and females,Haemotological,2015,mean platelet volume,EFO:0004584,high
Melanoma,public,Amos CI,Disease,MDACC,784,1,1804,1026,Effect allele frequenices are missing; other alleles are missing,818978,21926416,European,1,2830,NA,log odds,Males and females,Cancer,2015,melanoma,EFO:0000756,high
Attention deficit hyperactivity disorder,public,Neale BM,Disease,PGC,799,0,2787,2635,Only P-values are available,1206462,20732625,European,1,5422,NA,log odds,Males and females,Psychiatric / neurological,2010,,,
Microalbuminuria,public,Teumer,Risk factor,CKDGen,1097,1,NA,NA,NA,2191461,26631737,European,1,54116,NA,log odds,Males and females,Kidney,2011,Microalbuminuria,HP:0012594,high
Migraine in bipolar disorder,public,Jacobsen KK,Risk factor,NA,1019,1,460,924,NA,723225,25451450,European,1,1374,NA,log odds,Males and females,Psychiatric / neurological,2011,,,
Motherƒ__s age at death,public,Pilling,Risk factor,UK Biobank,1093,1,NA,NA,Motherƒ__s age at death; Results from interim Biobank release enriched for smokers; could lead to bias through collider issues in MR,9583643,27015805,European,1,75244,NA,SD,Males and females,Aging,2013,parental longevity,EFO:0007796,high
Multiple sclerosis,immunobase_users,Beecham,Disease,IMSGC,280,1,14498,24091,Immuno-chip; effect allele frequencies are missing,117841,24076602,European,1,38589,NA,log odds,Males and females,Autoimmune / inflammatory,2013,,,
Multiple sclerosis,immunobase_users,Sawcer S,Disease,IMSGC,286,1,9772,17376,Effect allele frequencies are missing,464358,21833088,European,1,27148,NA,log odds,Males and females,Autoimmune / inflammatory,2013,multiple sclerosis,EFO:0003885,high
Multiple sclerosis,public,Hafler DA,Disease,IMSGC,820,1,931,1862,Family study; effect allele frequencies are missing,327095,17660530,European,2,2793,NA,log odds,Males and females,Autoimmune / inflammatory,2013,,,
Multiple sclerosis,public,Baranzini SE,Disease,NA,821,1,978,883,Effect allele frequencies are missing,514572,19010793,European,3,1861,NA,log odds,Males and females,Autoimmune / inflammatory,2015,,,
Bone ultra sound attenuation,public,Kiel DP,Risk factor,NA,807,0,NA,NA,Only P values are available,103431,17903296,European,1,1141,NA,NA,Males and females,Bone,2007,,,
Multiple sclerosis,public,Sawcer S,Disease,IMSGC,1024,1,9722,17376,NA,465435,21833088,European,1,27098,NA,log odds,Males and females,Autoimmune / inflammatory,2009,,,
Diabetic nephropathy,public,Mueller,Disease,NA,809,0,1487,1592,Family study; only P values are available,350155,16775037,European,1,3079,NA,log odds,Males and females,Kidney,2006,,,
Multiple sclerosis,public,Beecham,Disease,IMSGC,1025,1,14498,24091,NA,156632,24076602,European,1,38589,NA,log odds,Males and females,Autoimmune / inflammatory,NA,,,
Parkinson's disease,public,Maraganore DM,Disease,NA,811,0,443,443,Effect allele; other allele and effect allele frequencies are missing,168346,16252231,European,1,886,NA,log odds,Males and females,Psychiatric / neurological,2005,,,
Myocardial infarction,public,Nikpay,Disease,CARDIoGRAMplusC4D,798,1,43676,128199,NA,9289492,26343387,Mixed,1,171875,NA,log odds,Males and females,Cardiovascular,2009,myocardial infarction,EFO:0000612,high
Narcolepsy,immunobase_users,Faraco,Disease,NA,1098,1,1886,10421,Immuno-chip; effect allele frequencies are missing,102068,23459209,European,1,12307,NA,log odds,Males and females,Autoimmune / inflammatory,2012,narcolepsy with cataplexy,EFO:0000614,medium - not sure about cataplexy
Neo-agreeableness,public,de Moor MH,Risk factor,GPC,113,1,NA,NA,Effect allele frequencies are missing,2305462,21173776,European,1,17375,5.36,arbitrary score,Males and females,Personality,2007,personality trait,EFO:0004365,low
Neo-conscientiousness,public,de Moor MH,Risk factor,GPC,114,1,NA,NA,Effect allele frequencies are missing,2305683,21173776,European,1,17375,6.24,arbitrary score,Males and females,Personality,2008,personality trait,EFO:0004365,low
Neo-extraversion,public,de Moor MH,Risk factor,GPC,115,1,NA,NA,Effect allele frequencies are missing,2305823,21173776,European,1,17375,6.49,arbitrary score,Males and females,Personality,2013,personality trait,EFO:0004365,low
Neo-neuroticism,public,de Moor MH,Risk factor,GPC,116,1,NA,NA,Effect allele frequencies are missing,2305739,21173776,European,1,17375,8.2,arbitrary score,Males and females,Personality,NA,personality trait,EFO:0004365,low
Neo-openness to experience,public,de Moor MH,Risk factor,GPC,117,1,NA,NA,Effect allele frequencies are missing,2305641,21173776,European,1,17375,5.92,arbitrary score,Males and females,Personality,2011,personality trait,EFO:0004365,low
Neuroblastoma,public,Capasso M,Disease,NA,816,1,1627,3254,Effect allele frequencies are missing,468788,23222812,European,1,4881,NA,log odds,Males and females,Cancer,2006,neuroblastoma,EFO:0000621,high
Neuroticism,public,de Moor,Risk factor,GPC,118,1,NA,NA,Effect allele frequencies are missing,6949615,25993607,European,1,160958,NA,arbitrary score,Males and females,Psychiatric / neurological,2007,,,
Neuroticism,public,Okbay,Risk factor,SSGAC,1007,1,NA,NA,NA,6524433,27089181,European,1,170911,NA,SD,Males and females,Personality,2009,neuroticism measurement,EFO:0007660,high
Nucleus accumbens volume,public,Hibar,Risk factor,ENIGMA,1042,1,NA,NA,adjusted for intracranial volume,7272653,25607358,European,1,30717,NA,mm3,Males and females,Psychiatric / neurological,2009,nucleus accumbens volume,EFO:0006931,high
Prostate cancer,public,Ciampa J,Disease,NA,823,0,1175,1100,Effect allele; other allele and effect allele frequencies are missing,184483,21372204,European,1,2275,NA,log odds,Males and females,Cancer,2011,,,
Obesity class 1,public,Berndt SI,Risk factor,GIANT,90,1,32858,65839,NA,2380428,23563607,European,1,98697,NA,log odds,Males and females,Anthropometric,2008,obesity,EFO:0001073,medium
Upper gastrointestinal cancers,public,Li WQ,Disease,NA,825,0,3700,2111,Effect allele; other allele and effect allele frequencies are missing,472343,23504502,Chinese,1,5811,NA,log odds,Males and females,Cancer,2013,,,
Diastolic blood pressure,public,Ehret GB,Risk factor,ICBP,826,0,NA,NA,Only P-values available,2650287,21909115,European,1,74064,NA,SD,Males and females,Blood pressure,2011,,,
